===============================================================================
Id,nifty_1day_continous,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
313,nifty_1day_continous,313,2008-04-25 23:59:59.999989,600817778.27,615065589.92,600817778.27,614344486.0,0.0,0.0,614344486.0,MyStrategy,313,733157.9999999999,Broker,313,10000.0,10000.0,BuySell,313,,,Trades - Net Profit/Loss,313,,
314,nifty_1day_continous,314,2008-04-28 23:59:59.999989,558863916.43,562684414.01,555218320.03,556366109.0,0.0,0.0,556366109.0,MyStrategy,314,733160.9999999999,Broker,314,10000.0,10000.0,BuySell,314,,,Trades - Net Profit/Loss,314,,
315,nifty_1day_continous,315,2008-04-29 23:59:59.999989,702643877.83,718994380.45,701229593.85,716869505.0,0.0,0.0,716869505.0,MyStrategy,315,733161.9999999999,Broker,315,10000.0,10000.0,BuySell,315,,,Trades - Net Profit/Loss,315,,
316,nifty_1day_continous,316,2008-04-30 23:59:59.999989,659903627.55,664016639.86,654508472.52,655784268.0,0.0,0.0,655784268.0,MyStrategy,316,733162.9999999999,Broker,316,10000.0,10000.0,BuySell,316,,,Trades - Net Profit/Loss,316,,
317,nifty_1day_continous,317,2008-05-02 23:59:59.999989,627542753.22,631541397.05,619473954.78,623121004.0,0.0,0.0,623121004.0,MyStrategy,317,733164.9999999999,Broker,317,10000.0,10000.0,BuySell,317,,,Trades - Net Profit/Loss,317,,
318,nifty_1day_continous,318,2008-05-06 23:59:59.999989,627802560.87,629513425.16,617954511.6,622035195.0,0.0,0.0,622035195.0,MyStrategy,318,733168.9999999999,Broker,318,10000.0,10000.0,BuySell,318,,,Trades - Net Profit/Loss,318,,
319,nifty_1day_continous,319,2008-05-07 23:59:59.999989,562844413.39,563100911.61,556792146.88,560530472.0,0.0,0.0,560530472.0,MyStrategy,319,733169.9999999999,Broker,319,10000.0,10000.0,BuySell,319,,,Trades - Net Profit/Loss,319,,
320,nifty_1day_continous,320,2008-05-08 23:59:59.999989,501464286.29,502172183.03,494302324.11,496181912.0,0.0,0.0,496181912.0,MyStrategy,320,733170.9999999999,Broker,320,10000.0,10000.0,BuySell,320,,,Trades - Net Profit/Loss,320,,
321,nifty_1day_continous,321,2008-05-13 23:59:59.999989,611691028.78,618701184.33,603771018.56,605486919.0,0.0,0.0,605486919.0,MyStrategy,321,733175.9999999999,Broker,321,10000.0,10000.0,BuySell,321,,,Trades - Net Profit/Loss,321,,
322,nifty_1day_continous,322,2008-05-14 23:59:59.999989,500597728.37,507427571.63,497932423.68,505978817.0,0.0,0.0,505978817.0,MyStrategy,322,733176.9999999999,Broker,322,10000.0,10000.0,BuySell,322,,,Trades - Net Profit/Loss,322,,
323,nifty_1day_continous,323,2008-05-15 23:59:59.999989,508237302.27,519155848.96,507091184.51,518821142.0,0.0,0.0,518821142.0,MyStrategy,323,733177.9999999999,Broker,323,10000.0,10000.0,BuySell,323,,,Trades - Net Profit/Loss,323,,
324,nifty_1day_continous,324,2008-05-16 23:59:59.999989,548698753.22,554249398.88,547706608.82,553208988.0,0.0,0.0,553208988.0,MyStrategy,324,733178.9999999999,Broker,324,10000.0,10000.0,BuySell,324,,,Trades - Net Profit/Loss,324,,
325,nifty_1day_continous,325,2008-05-20 23:59:59.999989,531967521.35,532282142.44,523240654.51,526598332.0,0.0,0.0,526598332.0,MyStrategy,325,733182.9999999999,Broker,325,10000.0,10000.0,BuySell,325,,,Trades - Net Profit/Loss,325,,
326,nifty_1day_continous,326,2008-05-21 23:59:59.999989,654802461.84,658630703.51,647492251.62,656335041.0,0.0,0.0,656335041.0,MyStrategy,326,733183.9999999999,Broker,326,10000.0,10000.0,BuySell,326,,,Trades - Net Profit/Loss,326,,
327,nifty_1day_continous,327,2008-05-22 23:59:59.999989,657190738.65,657434761.01,643538329.91,645432714.0,0.0,0.0,645432714.0,MyStrategy,327,733184.9999999999,Broker,327,10000.0,10000.0,BuySell,327,,,Trades - Net Profit/Loss,327,,
