open,high,low,close,volume
4830.0,4970.8,4796.35,4942.0,582950780
4942.15,4947.0,4703.85,4734.5,596472000
4735.65,4800.75,4628.75,4739.55,392119158
4741.4,4916.75,4741.4,4754.2,410657952
4753.9,4833.25,4738.2,4771.6,453972153
4631.35,4798.55,4628.8,4761.2,497196633
4760.65,4769.55,4677.8,4709.65,456601998
4707.05,4758.25,4667.5,4747.05,484039277
4747.55,4799.5,4720.9,4733.0,511227288
4734.35,4817.4,4727.25,4777.8,432507177
4779.95,4917.1,4708.3,4879.65,540898672
4881.65,4951.4,4874.05,4887.3,631102848
4890.6,4984.95,4889.65,4958.4,748765257
4955.9,5053.4,4955.9,5037.0,617673949
5037.05,5074.25,4994.05,5049.3,753721358
5044.35,5083.5,5003.55,5022.8,787290211
5022.9,5072.7,4991.35,4999.85,696462855
4999.15,5117.7,4999.15,5111.7,614344486
5112.5,5147.45,5079.15,5089.65,556366109
5092.4,5210.9,5082.15,5195.5,716869505
5198.35,5230.75,5155.85,5165.9,655784268
5265.3,5298.85,5197.6,5228.2,623121004
5192.35,5206.5,5110.9,5144.65,622035195
5156.7,5159.05,5101.25,5135.5,560530472
5135.8,5143.05,5062.45,5081.7,496181912
5008.6,5066.0,4943.75,4957.8,605486919
4958.45,5026.1,4932.05,5011.75,505978817
5010.9,5118.55,4999.6,5115.25,518821142
5115.65,5167.4,5106.4,5157.7,553208988
5157.0,5160.05,5072.4,5104.95,526598332
5105.7,5135.55,5048.7,5117.65,656335041
5117.0,5118.9,5010.7,5025.45,645432714
5026.55,5059.05,4940.7,4946.55,548707503
4953.6,4953.6,4858.0,4875.05,441769059
4877.15,4932.0,4846.2,4859.8,490034398
4862.7,4926.9,4835.65,4918.35,568517296
4739.3,4739.3,4634.0,4715.9,542167443
4718.7,4731.5,4564.5,4585.6,558860324
4586.95,4690.6,4536.25,4676.95,574491670
4522.0,4522.55,4369.8,4449.8,527292110
4469.65,4541.05,4468.05,4523.6,495241501
4524.4,4550.0,4392.0,4539.35,570082348
4539.5,4563.35,4491.35,4517.1,538450524
4536.3,4617.7,4536.3,4572.5,476850670
4572.5,4664.05,4561.75,4653.0,457390395
4652.8,4679.75,4569.9,4582.4,554011299
4582.55,4585.7,4488.95,4504.25,382865483
4504.2,4532.0,4333.6,4347.55,482749575
4351.15,4351.15,4225.5,4266.4,466056287
4271.05,4305.9,4156.1,4191.1,475901319
4189.6,4264.55,4093.2,4252.65,544690481
4252.6,4324.75,4230.0,4315.85,688287461
4136.25,4163.0,4021.7,4040.55,534058125
4039.75,4075.4,3878.2,3896.75,582508877
3895.3,4107.15,3848.25,4093.35,787995714
4094.6,4097.35,3874.85,3925.75,632740745
3926.65,4033.5,3896.4,4016.0,624886617
4002.0,4114.5,4002.0,4030.0,523065738
4028.7,4028.7,3896.05,3988.55,545386187
3990.9,4169.4,3990.9,4157.1,577564761
4155.65,4187.95,4110.4,4162.2,539511064
4166.0,4215.5,4014.45,4049.0,579846205
4047.45,4118.1,4004.25,4039.7,465549908
4039.3,4040.7,3835.5,3861.1,447187323
3861.55,3920.05,3790.2,3816.7,550509226
3823.15,3968.75,3823.15,3947.2,516111954
3962.95,4110.55,3926.3,4092.25,547208782
4092.2,4168.15,4072.75,4159.5,419232583
4158.45,4262.45,4137.95,4240.1,532638572
4246.7,4491.55,4246.7,4476.8,847453745
4476.2,4539.45,4385.85,4433.55,771408453
4282.25,4352.65,4282.25,4332.1,491366555
4332.2,4332.2,4159.15,4189.85,553654297
4191.2,4327.0,4191.2,4313.55,593453634
4314.35,4342.0,4285.55,4332.95,662584064
4331.6,4422.95,4235.7,4413.55,717784049
4426.1,4436.15,4362.9,4395.35,702530187
4395.8,4515.15,4376.0,4502.85,762410732
4506.25,4615.9,4503.9,4517.55,765764035
4515.25,4580.15,4493.7,4523.85,591422025
4518.35,4546.35,4464.0,4529.5,580027728
