datetime,PP,R1,S1,R2,S2,R3,S3
2019-03-31,11357.083333333334,11897.166666666668,11083.816666666668,12170.433333333334,10543.733333333334,12710.516666666668,10270.466666666667
2019-04-30,11717.800000000001,11886.500000000002,11579.450000000003,12024.85,11410.750000000002,12193.550000000001,11272.400000000003
2019-05-31,11690.75,12273.2,11340.35,12623.600000000002,10757.9,13206.050000000001,10407.5
2019-06-30,11839.0,12052.9,11574.95,12316.949999999999,11361.050000000001,12530.849999999999,11097.000000000002
2019-07-31,11366.383333333333,11733.366666666667,10751.016666666666,12348.733333333332,10384.033333333333,12715.716666666667,9768.666666666666
2019-08-31,10947.283333333333,11257.416666666666,10713.116666666665,11491.583333333334,10402.983333333332,11801.716666666667,10168.816666666664
2019-09-30,11279.85,11889.45,10864.85,12304.45,10255.25,12914.050000000001,9840.25
2019-10-31,11637.533333333335,12184.91666666667,11330.06666666667,12492.383333333333,10782.683333333334,13039.76666666667,10475.216666666669
2019-11-30,12005.833333333334,12209.016666666668,11852.866666666669,12361.983333333332,11649.683333333334,12565.166666666668,11496.716666666669
2019-12-31,12098.216666666665,12364.133333333331,11902.533333333331,12559.816666666666,11636.616666666665,12825.733333333332,11440.93333333333
2020-01-31,12107.4,12285.199999999999,11784.3,12608.300000000001,11606.5,12786.099999999999,11283.4
2020-02-29,11541.166666666666,11907.283333333333,10835.633333333331,12612.81666666667,10469.516666666665,12978.933333333334,9763.98333333333
2020-03-31,9180.616666666667,10850.133333333333,6928.233333333334,13102.516666666668,5258.716666666667,14772.033333333333,3006.333333333334
2020-04-30,9268.25,10480.7,8647.45,11101.5,7435.000000000001,12313.949999999999,6814.200000000002
2020-05-31,9328.633333333333,9850.516666666666,9058.416666666666,10120.733333333334,8536.533333333333,10642.616666666667,8266.316666666666
2020-06-30,10133.199999999999,10722.049999999997,9713.249999999998,11141.999999999998,9124.4,11730.849999999997,8704.449999999999
2020-07-31,10904.816666666668,11510.033333333335,10468.233333333335,11946.616666666667,9863.016666666668,12551.833333333334,9426.433333333336
2020-08-31,11354.666666666666,11827.083333333332,10915.083333333332,12266.666666666664,10442.666666666666,12739.083333333332,10003.083333333332
