datetime,open,high,low,volume,close
2008-09-25,4162.15,4172.6,4077.5,613720173,4110.55
2008-09-26,4108.75,4110.7,3970.35,432935844,3985.25
2008-09-29,3990.2,3997.55,3777.3,555604716,3850.05
2008-09-30,3848.7,3966.85,3715.05,635868365,3921.2
2008-10-01,3921.85,4000.5,3861.25,463041041,3950.75
2008-10-06,3817.3,3820.85,3581.6,489746961,3602.35
2008-10-07,3606.95,3732.65,3537.0,581459545,3606.6
2008-10-08,3604.4,3604.4,3329.45,616890391,3513.65
2008-10-10,3502.05,3502.05,3198.95,645875466,3279.95
2008-10-13,3272.9,3510.2,3272.9,569654553,3490.7
2008-10-14,3494.1,3648.25,3491.5,588009933,3518.65
2008-10-15,3517.9,3518.5,3324.55,453467319,3338.4
2008-10-16,3333.85,3333.85,3099.9,618645299,3269.3
2008-10-17,3269.05,3335.95,3046.6,516585235,3074.35
2008-10-20,3108.2,3238.4,3058.95,506115257,3122.8
2008-10-21,3125.4,3254.85,3117.35,556140291,3234.9
2008-10-22,3234.7,3235.75,3051.8,460497054,3065.15
2008-10-23,3064.8,3085.1,2917.15,522043204,2943.15
2008-10-24,2936.25,2936.25,2525.05,686629291,2584.0
2008-10-27,2583.75,2585.3,2252.75,664711123,2524.2
2008-10-28,2526.2,2695.95,2526.2,125137979,2684.6
2008-10-31,2696.3,2921.35,2696.3,665456874,2885.6
2008-11-03,2885.4,3062.05,2885.4,619245740,3043.85
2008-11-04,3050.25,3152.3,2985.0,776875591,3142.1
2008-11-05,3155.75,3240.55,2971.0,807530337,2994.95
2008-11-06,2998.45,3007.8,2860.25,687887529,2892.65
2008-11-07,2893.25,3010.0,2860.1,597959480,2973.0
2008-11-10,2973.3,3161.25,2973.3,628620575,3148.25
2008-11-11,3147.2,3147.2,2919.45,570884200,2938.65
2008-11-12,2937.9,2975.2,2794.95,613579102,2848.45
2008-11-14,2848.0,2938.8,2778.8,629860366,2810.35
2008-11-17,2813.4,2835.7,2694.5,556795897,2799.55
2008-11-18,2802.45,2802.45,2664.3,504398859,2683.15
2008-11-19,2682.75,2772.4,2617.9,514035044,2635.0
2008-11-20,2634.2,2634.2,2502.9,483634828,2553.15
2008-11-21,2553.6,2718.6,2539.8,594794026,2693.45
2008-11-24,2690.85,2740.35,2633.8,488144545,2708.25
2008-11-25,2708.3,2790.7,2638.2,524950668,2654.0
2008-11-26,2652.45,2762.6,2643.35,517748980,2752.25
2008-11-28,2745.7,2779.0,2690.3,567828081,2755.1
2008-12-01,2755.15,2832.85,2669.5,496203085,2682.9
